acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.7148558,4.6636114,8.584849,-0.02733622,-0.0154243475,0.00580322,20240202_130807_415
0.71007013,4.6779685,8.580064,-0.02611449,-0.0154243475,0.0070249503,20240202_130807_418
0.7004988,4.65404,8.584849,-0.02611449,-0.016493361,0.0106901415,20240202_130807_420
0.7052845,4.658826,8.584849,-0.024892759,-0.014202617,0.0106901415,20240202_130807_422
0.71007013,4.6636114,8.556135,-0.020005837,-0.014202617,0.01450805,20240202_130807_424
0.7148558,4.668397,8.575278,-0.018784106,-0.012980887,0.01450805,20240202_130807_426
0.7148558,4.6731825,8.55135,-0.015118915,-0.012980887,0.01817324,20240202_130807_428
0.72442704,4.6779685,8.575278,-0.01038471,-0.009315695,0.01817324,20240202_130807_430
0.7196414,4.682754,8.599206,-0.0067195175,-0.006872234,0.020616703,20240202_130807_433
0.73399836,4.6965127,8.618349,-0.004276057,-0.0032070426,0.023060163,20240202_130807_435
0.7196414,4.6821556,8.618349,-0.0030543262,-0.0032070426,0.02443461,20240202_130807_437
0.7292127,4.691727,8.623135,6.1086525E-4,-7.6358154E-4,0.02687807,20240202_130807_439
0.7196414,4.682754,8.599206,0.004276057,0.0016798794,0.02687807,20240202_130807_442
0.71007013,4.706084,8.599206,0.005497787,-0.004428773,0.030543262,20240202_130807_444
0.71007013,4.706682,8.589635,0.009162978,-0.001985312,0.030543262,20240202_130807_445
0.7196414,4.7018967,8.580064,0.009162978,-0.0056505036,0.03176499,20240202_130807_448
0.72442704,4.7018967,8.584849,0.01160644,-0.0067195175,0.032986723,20240202_130807_450
0.7148558,4.7018967,8.599206,0.010231993,-0.009162978,0.035430185,20240202_130807_452
0.7148558,4.706084,8.62792,0.010231993,-0.007941248,0.035430185,20240202_130807_454
0.7435696,4.7252264,8.617751,0.01038471,-0.01160644,0.034208454,20240202_130807_457
0.7292127,4.720441,8.617751,0.009010263,-0.007941248,0.035430185,20240202_130807_459
0.72442704,4.7156553,8.618349,0.009162978,-0.007941248,0.034208454,20240202_130807_460
0.7435696,4.6971107,8.59442,0.011453724,-0.0067195175,0.034208454,20240202_130807_463
0.7531409,4.6875396,8.584849,0.009162978,-0.004428773,0.032986723,20240202_130807_465
0.76749784,4.6875396,8.575278,0.01038471,-0.007941248,0.034208454,20240202_130807_467
