acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.45583272,3.51386,9.120842,-0.009468411,-0.0022907446,-0.006414085,20240202_145359_601
-0.46061835,3.5042887,9.1256275,-0.009315695,-0.0035124752,-0.008857546,20240202_145359_604
-0.46061835,3.51386,9.135199,-0.00580322,-0.0035124752,-0.006414085,20240202_145359_605
-0.47018966,3.5186458,9.154342,-0.004581489,-0.0035124752,-0.0076358155,20240202_145359_608
-0.47916272,3.5090744,9.14477,-9.162979E-4,1.5271631E-4,-0.0050396384,20240202_145359_610
-0.48394838,3.51386,9.159127,0.0015271631,1.5271631E-4,-0.0050396384,20240202_145359_612
-0.47916272,3.4995031,9.154342,0.003970624,-0.0022907446,-0.0038179078,20240202_145359_615
-0.48873404,3.4947174,9.145369,0.005192355,0.0025961774,-0.0013744468,20240202_145359_616
-0.48873404,3.5090744,9.140582,0.006414085,1.5271631E-4,-1.5271631E-4,20240202_145359_619
-0.4743771,3.4899318,9.145369,0.010079277,-0.0010690142,0.0022907446,20240202_145359_621
-0.48394838,3.4899318,9.126225,0.008857546,-0.0010690142,0.0035124752,20240202_145359_623
-0.48873404,3.4995031,9.126225,0.010079277,-0.0022907446,0.005955936,20240202_145359_625
-0.4648058,3.4899318,9.116654,0.008857546,-0.0035124752,0.0071776668,20240202_145359_627
-0.4648058,3.4803605,9.116654,0.008857546,-0.0035124752,0.0071776668,20240202_145359_629
-0.4648058,3.4947174,9.126225,0.008857546,-0.0035124752,0.0096211275,20240202_145359_632
-0.45104706,3.4803605,9.135797,0.005192355,-0.0035124752,0.0096211275,20240202_145359_633
-0.46061835,3.5042887,9.116654,0.003970624,-0.0035124752,0.0096211275,20240202_145359_635
-0.44147578,3.5090744,9.120842,0.0027488936,-0.0047342055,0.010842858,20240202_145359_639
-0.44626144,3.5090744,9.106484,3.0543262E-4,-0.005955936,0.0096211275,20240202_145359_641
-0.44626144,3.5090744,9.131011,-9.162979E-4,-0.0071776668,0.010842858,20240202_145359_643
-0.43669012,3.5090744,9.102298,-0.0033597588,-0.0071776668,0.008246681,20240202_145359_644
-0.42711884,3.51386,9.106484,-0.004581489,-0.0071776668,0.008246681,20240202_145359_646
-0.43669012,3.51386,9.111869,-0.004581489,-0.0096211275,0.0070249503,20240202_145359_648
-0.4319045,3.5090744,9.120842,-0.0033597588,-0.0047342055,0.0071776668,20240202_145359_650
-0.42711884,3.51386,9.1256275,-0.0070249503,-0.0071776668,0.004581489,20240202_145359_653
-0.4223332,3.5090744,9.120842,-0.004581489,-0.0071776668,0.004581489,20240202_145359_655
-0.4127619,3.51386,9.120842,-0.0033597588,-0.0035124752,0.0071776668,20240202_145359_657
-0.4223332,3.5042887,9.116056,-0.004581489,-0.0035124752,0.00580322,20240202_145359_659
-0.42711884,3.5186458,9.1256275,-0.004581489,-0.005955936,0.00580322,20240202_145359_662
-0.4031906,3.5330026,9.1256275,-0.0033597588,-0.0047342055,0.005955936,20240202_145359_664
-0.39361933,3.51386,9.1256275,-0.0033597588,-0.0035124752,0.0047342055,20240202_145359_666
