acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.8811569,4.671388,8.578269,-0.024740042,-0.0125227375,0.01695151,20240202_130817_816
0.8811569,4.6618166,8.573483,-0.027183503,-0.0125227375,0.01450805,20240202_130817_818
0.87158567,4.6618166,8.578269,-0.027183503,-0.014966198,0.01450805,20240202_130817_820
0.8859426,4.657031,8.563912,-0.028405234,-0.013744468,0.01450805,20240202_130817_822
0.8811569,4.671388,8.58784,-0.027183503,-0.014966198,0.012064588,20240202_130817_824
0.8811569,4.64746,8.578269,-0.025961773,-0.014966198,0.013286319,20240202_130817_826
0.8811569,4.6235313,8.554939,-0.025961773,-0.014966198,0.012064588,20240202_130817_828
0.87637126,4.6378884,8.578269,-0.025961773,-0.01740966,0.010842858,20240202_130817_830
0.8811569,4.6235313,8.597412,-0.024740042,-0.01863139,0.010842858,20240202_130817_832
0.8811569,4.6091747,8.606983,-0.024740042,-0.014966198,0.008399397,20240202_130817_835
0.87158567,4.6378884,8.602198,-0.022296581,-0.013744468,0.0096211275,20240202_130817_836
0.8859426,4.6522455,8.611769,-0.024740042,-0.01863139,0.008399397,20240202_130817_840
0.8859426,4.657031,8.602198,-0.02107485,-0.01740966,0.0096211275,20240202_130817_841
0.90029955,4.6618166,8.606983,-0.023518313,-0.01863139,0.005955936,20240202_130817_844
0.90508515,4.666602,8.606983,-0.022296581,-0.01985312,0.005955936,20240202_130817_845
0.90029955,4.657031,8.592627,-0.02107485,-0.02107485,0.0047342055,20240202_130817_847
0.90508515,4.666602,8.616554,-0.022296581,-0.01985312,0.0035124752,20240202_130817_850
0.90029955,4.6618166,8.606983,-0.02107485,-0.01863139,0.0022907446,20240202_130817_851
0.8955139,4.642674,8.626125,-0.022296581,-0.01985312,0.0010690142,20240202_130817_854
0.90508515,4.633103,8.635697,-0.01863139,-0.016187929,0.0010690142,20240202_130817_856
0.90029955,4.6235313,8.611769,-0.02107485,-0.01740966,-0.0013744468,20240202_130817_858
0.91465646,4.6235313,8.602198,-0.01985312,-0.01863139,-0.0013744468,20240202_130817_860
0.9242278,4.6091747,8.597412,-0.01740966,-0.014966198,-0.0013744468,20240202_130817_862
0.9194421,4.599603,8.583653,-0.016187929,-0.014966198,-0.0025961774,20240202_130817_864
0.9242278,4.590032,8.554939,-0.0125227375,-0.01863139,-0.0038179078,20240202_130817_867
0.91465646,4.5948176,8.59801,-0.0125227375,-0.013744468,-0.0025961774,20240202_130817_869
0.9242278,4.599603,8.583653,-0.010079277,-0.0125227375,-0.0038179078,20240202_130817_871
0.9194421,4.6235313,8.58784,-0.010079277,-0.013744468,-0.0050396384,20240202_130817_875
0.94337034,4.604389,8.611769,-0.0076358155,-0.010079277,-0.0050396384,20240202_130817_876
0.933799,4.6091747,8.626125,-0.005192355,-0.010079277,-0.0050396384,20240202_130817_877
0.9290134,4.6235313,8.616554,-0.005192355,-0.006414085,-0.0062613687,20240202_130817_880
0.9242278,4.6139603,8.62134,-0.0027488936,-0.003970624,-0.0061086523,20240202_130817_882
0.94337034,4.633103,8.597412,-0.003970624,-0.008857546,-0.007483099,20240202_130817_884
0.933799,4.642674,8.602198,-3.0543262E-4,-0.003970624,-0.007330383,20240202_130817_886
0.9290134,4.618746,8.606983,9.162979E-4,-0.0015271631,-0.007330383,20240202_130817_888
0.933799,4.6522455,8.611769,0.0021380284,-0.0015271631,-0.008552114,20240202_130817_890
0.9290134,4.64746,8.602198,0.00580322,-3.0543262E-4,-0.008552114,20240202_130817_892
0.948156,4.6618166,8.602198,0.004581489,-0.0015271631,-0.008552114,20240202_130817_895
0.9242278,4.6761737,8.611769,0.0070249503,-3.0543262E-4,-0.008552114,20240202_130817_897
